Title,Author,Subject,Source,Type,Publication Date,Link,License,Description
Processes: Writing Across Academic Careers,"Christopher Iverson, Dan Ehrenfeld",N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/processes-writing-across-academic-careers/,Attribution-NonCommercial-ShareAlike,N/A
Inanimate Life,George M. Briggs,N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/inanimate-life/,Attribution-ShareAlike CC BY-SA,N/A
Introduction to LGBTQ+ Studies: A Cross-Disciplinary Approach,"Deborah P. Amory, Sean G. Massey, Jennifer Miller, Allison P. Brown",N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/introduction-to-lgbtq-studies-a-cross-disciplinary-approach/,Attribution,N/A
Gendered Lives: Global Issues,"Nadine T. Fernandez, Katie Nelson",N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/gendered-lives-global-issues/,Attribution,N/A
Public Health in Pharmacy Practice: A Casebook 2nd Edition,"Jordan R Covvey, PharmD, PhD, BCPS, Vibhuti Arya, PharmD, Natalie A. DiPietro Mager, PharmD, MPH, Neyda V. Gilman, MLS, MaRanda Herring, PharmD, BCACP, Leslie Ochs, PharmD, PhD, MSPH, Lindsay Waddington, PharmD, MPH, BCCCP",N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/public-health-in-pharmacy-practice-a-casebook-2nd-edition/,Attribution,N/A
Yo puedo: segundos pasos,"Elizabeth Silvaggio-Adams, Ma. Del Rocío Vallejo-Alegre",N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/yo-puedo-segundos-pasos/,Attribution-NonCommercial,N/A
Yo puedo: para empezar,"Elizabeth Silvaggio-Adams, Ma. Del Rocío Vallejo-Alegre",N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/yo-puedo-para-empezar/,Attribution-NonCommercial,N/A
Real Analysis,Gary Towsley,N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/real-analysis/,Attribution-NonCommercial,N/A
AC Electrical Circuit Analysis: A Practical Approach + Lab Manual,James Fiore,N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/ac-electrical-circuit-analysis-a-practical-approach/,Attribution-NonCommercial-ShareAlike,N/A
Guide to Object-oriented Programming With Java,Jim Gerland,N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/guide-to-object-oriented-programming-with-java/,Attribution-NonCommercial-ShareAlike,N/A
